Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,alsoHasRank,alsoKnownAs,capturedLocation,hasBodyPart,hasCharacteristic,hasName,hasRank,hasShape,hasStatus,http://bioportal.bioontology.org/ontologies/FISHO#addedBy,http://bioportal.bioontology.org/ontologies/FISHO#citation,http://bioportal.bioontology.org/ontologies/FISHO#commentSource,http://bioportal.bioontology.org/ontologies/FISHO#contributor,http://bioportal.bioontology.org/ontologies/FISHO#creator,http://bioportal.bioontology.org/ontologies/FISHO#definition,http://bioportal.bioontology.org/ontologies/FISHO#definitionSource,http://bioportal.bioontology.org/ontologies/FISHO#description,http://bioportal.bioontology.org/ontologies/FISHO#has_obo_namespace,http://bioportal.bioontology.org/ontologies/FISHO#id,http://bioportal.bioontology.org/ontologies/FISHO#is_ancient_species,http://bioportal.bioontology.org/ontologies/FISHO#modified,http://bioportal.bioontology.org/ontologies/FISHO#status,http://bioportal.bioontology.org/ontologies/FISHO#title,http://bioportal.bioontology.org/ontologies/FISHO#usedIn,http://data.bioontology.org/metadata/prefixIRI,http://mybiodiversityontologies.um.edu.my/FO.owl#contributor,http://mybiodiversityontologies.um.edu.my/FO.owl#creator,http://mybiodiversityontologies.um.edu.my/FO.owl#description,http://mybiodiversityontologies.um.edu.my/FO.owl#modified,http://mybiodiversityontologies.um.edu.my/FO.owl#title,http://purl.obolibrary.org/obo/created_by,http://purl.obolibrary.org/obo/def,http://purl.obolibrary.org/obo/definition,http://purl.obolibrary.org/obo/ncbitaxon#has_rank,http://purl.obolibrary.org/obo/vto#has_rank,http://purl.obolibrary.org/obo/vto#is_extinct,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,http://www.geneontology.org/formats/oboInOWL#hasExactSynonym,http://www.geneontology.org/formats/oboInOwl#hasOBONamespace,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,http://www.geneontology.org/formats/oboInOwl#hasSynonymType,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOWL#xref,http://www.w3.org/2004/02/skos/core#notation,isAssociatedWith,isCapturedBy,isCharacteristicFor,isCommonNamesIn,isComposedOf,isConsideredAs,isDevelopedFrom,isDifferentFrom,isGroupFor,isKnownAs,isNameFor,isNotGroupFor,isOrganFor,isPartOf,isRankFor,isSimilarTo,isStatusFor,isToolsToCapture
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000233,MetamorphosisBegun,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000071,,,,,,,,,,,,,,,,,,,FISHO:0000233,,,,,,FISHO:FISHO_0000233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000238,MandibularArch,,"Forms the upper jaw. Composed entirely of dermal bones in bony fishes. Have 3 sets of bones, Premaxillae, Maxillae and Supramaxillae.",false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000032,,,,,,,,,,,,,,,,,,,FISHO:0000238,,,,,,FISHO:FISHO_0000238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000236,Prejuvenile,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000380,,,,,,,,,,,,,,,,,,,FISHO:0000236,,,,,,FISHO:FISHO_0000236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000231,GallBladder,,Thin-walled temporary storage organ for the bile. It empties into the intestine near the pylorus by contraction of smooth muscles.,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000232|http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000084,,,,,,,,,,,,,,,,,,,FISHO:0000231,,,,,,FISHO:FISHO_0000231,,,,,,,,,,,,,ZFA:0000208|TAO:0000208,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000232,Organ,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000378,,,,,,,,,,,,,,,,,,,FISHO:0000232,,,,,,FISHO:FISHO_0000232,,,,,,,,,,,,,ZFA:0000496|CARO:0000024|UBERON:0003103|TAO:0000496,,compound organ,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000237,SingleNostril,,"Also known as ""Monorhina"". The alternative name Monorhina refers to the single, median, slitlike opening, the nasohypophyseal foramen, in the anterior region of the head shield, associated with the pineal body.",false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000424,,,,,,,,,,,,,,,,,,,FISHO:0000237,,,In review,,,FISHO:FISHO_0000237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000450,VU,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000346|http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000127,,,,,,,,,,,,,,,,,,,FISHO:0000450,,,,,,FISHO:FISHO_0000450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000457,Head,cephalic area,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000378,,,,,,,,,,,,,,,,,,,FISHO:0000457,,,,,,FISHO:FISHO_0000457,,,,,,,,,,,,,UBERON:0000033,,,,cephalic area,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000451,EN,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000346|http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000127,,,,,,,,,,,,,,,,,,,FISHO:0000451,,,,,,FISHO:FISHO_0000451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000454,EX,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000346|http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000127,,,,,,,,,,,,,,,,,,,FISHO:0000454,,,,,,FISHO:FISHO_0000454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
